name,selling_price,km_driven,fuel,transmission,mileage,seats
Maruti Swift Dzire VDI,450000,145500,Diesel,Manual,23.4,5
Skoda Rapid 1.5 TDI Ambition,370000,120000,Diesel,Manual,21.14,5
Honda City 2017-2020 EXi,158000,140000,Petrol,Manual,17.7,5
Hyundai i20 Sportz Diesel,225000,127000,Diesel,Manual,23.0,5
Maruti Swift VXI BSIII,130000,120000,Petrol,Manual,16.1,5
Hyundai Xcent 1.2 VTVT E Plus,440000,45000,Petrol,Manual,20.14,5
Maruti Wagon R LXI DUO BSIII,96000,175000,LPG,Manual,17.3,5
Maruti 800 DX BSII,45000,5000,Petrol,Manual,16.1,4
Toyota Etios VXD,350000,90000,Diesel,Manual,23.59,5
Ford Figo Diesel Celebration Edition,200000,169000,Diesel,Manual,20.0,5
Renault Duster 110PS Diesel RxL,500000,68000,Diesel,Manual,19.01,5
Maruti Zen LX,92000,100000,Petrol,Manual,17.3,5
Maruti Swift Dzire VDi,280000,140000,Diesel,Manual,19.3,5
Maruti Wagon R LXI Minor,180000,90000,Petrol,Manual,18.9,5
Mahindra KUV 100 mFALCON G80 K8 5str,400000,40000,Petrol,Manual,18.15,5
Maruti Ertiga SHVS VDI,778000,70000,Diesel,Manual,24.52,7
Hyundai i20 1.4 CRDi Asta,500000,53000,Diesel,Manual,23.0,5
Maruti Alto LX,150000,80000,Petrol,Manual,19.7,5
Hyundai i20 2015-2017 Asta 1.4 CRDi,680000,100000,Diesel,Manual,22.54,5
Mahindra Verito 1.5 D4 BSIII,174000,100000,Diesel,Manual,21.0,5
Honda WR-V i-DTEC VX,950000,50000,Diesel,Manual,25.5,5
Maruti Swift Dzire ZDI,525000,40000,Diesel,Manual,26.59,5
Maruti SX4 ZDI,600000,72000,Diesel,Manual,21.5,5
Tata Tigor 2017-2020 XZ,500000,35000,Petrol,Manual,20.3,5
Maruti Baleno Delta 1.2,575000,45000,Petrol,Manual,21.4,5
Maruti Alto 800 LXI,275000,28000,Petrol,Manual,24.7,5
Chevrolet Enjoy TCDi LTZ 7 Seater,300000,70000,Diesel,Manual,18.2,7
Maruti Wagon R LXI Minor,220000,120000,Petrol,Manual,18.9,5
Maruti Omni E MPI STD BS IV,254999,25000,Petrol,Manual,16.8,8
Maruti Vitara Brezza LDi Option,670000,70000,Diesel,Manual,24.3,5
Maruti Omni 8 Seater BSIV,150000,35000,Petrol,Manual,14.0,5
Hyundai i20 1.2 Asta Dual Tone,730000,2388,Petrol,Manual,18.6,5
Maruti Vitara Brezza LDi,650000,16200,Diesel,Manual,24.3,5
